SMILES,pKa
Cc1ccnc2c1ccc1c(C)ccnc12,5.94
CCN(CC)CCNC(=O)c1cc(C)c(C)c(C)c1,9.067
NCCCN,10.53
CN(C)c1nc2ncncc2[nH]1,4.75
CC(C)CN,10.5075
CN(C)c1cc(N(C)C)ncn1,6.34
CNc1ncc(Cl)cc1Cl,3.01
CC(C)CNc1ccccc1,4.43
CC(=NO)C(C)(C)CCCCCN,9.12
CC(C)Nc1ncnc2[nH]ncc12,4.58
Oc1ncnc2ccccc12,2.06
CNc1ccncc1Br,7.315
C[C@@H]1N[C@H]1C,8.69
NNc1cnc2ccccc2c1,4.85
CC(C)N1CCC(NN)CC1,9.65
CN(C)c1ccc(Cl)cc1,4.395
NCc1ccc(Cl)cc1,9.14
CC(C)(C)c1cc2ccccn2c1,5.6
Cc1nncc2ccccc12,4.37
CN[C@@H](C)C(=O)O,2.22
Cc1nc2ccncc2nc1O,4.57
CC(C)(C)NC1CCCCC1,11.285
Nc1nc(N)c2nc(C(=O)O)cnc2n1,1.94
CC[As](=O)(CC)c1ccc(Br)cc1,2.81
Nc1cc(Cl)ccn1,5.7
C[C@H](N)C(=O)O,2.381375
Cc1cncc(C)c1N,9.345
CC(C=C(c1cccs1)c1cccs1)N1CCCCC1,8.41
CNc1nc(C)nc(NC)c1[N+](=O)[O-],3.38
Nc1cccc2nc3ccccc3cc12,6.0
CCNc1ncccn1,3.89
c1ccc(-c2c[nH]c(-c3ccccc3)n2)cc1,5.64
CCN(CC)CCC#N,7.65
CCC(N)=O,-0.49
CCOC(=O)c1ccncc1,3.45
Nc1cccc(=O)cc1,3.61
Cn1c(S)nc2ccncc21,5.05
NCC(O)CN,9.59
Nc1ccc2nc3cc(N)ccc3cc2c1,8.06
CCCCCN,10.6925
COC(=O)C1=CCCN(C)C1,7.64
CCOC(=O)C[C@H](N)C(=O)OCC,6.4
O=C(O)c1ccccn1,0.9533333333333336
Nc1c(Cl)cccc1Cl,0.422
CCNc1ccccc1[N+](=O)[O-],-0.21
Nc1cccc2c1ccc1ncccc12,5.16
Cc1nc(N)nc(N)c1-c1ccccc1,7.4
COc1ncnc2c1cnn2C,2.47
NC(CCCCC(N)C(=O)O)C(=O)O,2.62
Cn1nnc2[nH]c(N)nc(=O)c21,1.58
CN(C)c1ccc(/N=N/c2ccc(S(=O)(=O)[O-])cc2)cc1,3.41
Oc1nc2ncncc2[nH]1,2.56
CNc1ncnc(NC)c1NC=O,4.95
CC(C)C[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)O,2.915
CCc1cscn1,3.204
CNc1cc(Cl)nc(NC)n1,4.04
Cc1cnc[nH]1,7.61
O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,8.26
CCCNc1ncnc2c1cnn2C,4.21
CC(CC(c1ccccc1)c1ccccc1)N1CCOCC1,6.85
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,8.36
Oc1cccnc1,4.986666666666667
N[C@@H]1CCC[C@H]1O,9.28
CCN(CC)C(C)CNC(=O)c1cc(C)cc(C)c1,9.4
COc1ccc(C(O)NC(C)(C)C)cc1OC,9.73
Cc1ccccc1C(O)CNC(C)C,9.01
CN(C)CCC(c1ccccc1)c1ccccc1,9.35
Nc1ncc(NC=O)c(N)n1,6.03
Nc1nc(O)c2nccnc2n1,2.27
COC(=O)[C@@H](N)CO,7.0566666666666675
CN(C)CCN1CCCC1,9.439
O=[N+]([O-])c1cnc2cccnc2c1,0.63
