dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
random,200,20.0,10,1,0.5,0.702932820760044,0.948132522835088,0.8945439346750824,1.0046783125293355,1.3593618595305474,0.8158146045766712
random,1000,20.0,10,1,0.5,0.7026114959005404,0.9466937601262014,0.8948637446816807,1.005533523013173,1.3561869769779136,0.816673955032378
random,500,20.0,2,3,0.5,0.755681626086645,1.048523909357741,0.8710295689137356,1.0066501137560522,1.3669695776505468,0.8137472351278505
random,500,20.0,5,3,0.5,0.755681626086645,1.048523909357741,0.8710295689137356,1.0066501137560522,1.3669695776505468,0.8137472351278505
random,1000,30.0,10,3,0.3,0.7551731625151787,1.0456024999690903,0.8717472455195959,1.007186644334021,1.3710721209710108,0.8126275954945152
random,500,20.0,10,1,0.5,0.7036972933375656,0.9486079151184418,0.8944381571243971,1.0092772902877571,1.3588980667472257,0.8159402654284258
random,200,30.0,10,3,0.3,0.7584467668056587,1.0498713440840504,0.8706978818708844,1.013602820576348,1.3749188746477454,0.8115747163670894
random,500,20.0,10,1,0.3,0.7222085908680702,0.967771575357889,0.8901299809750388,1.0174876924393819,1.3689668106788204,0.8132025822974898
random,1000,20.0,10,1,0.3,0.7229397712345115,0.9690802222352,0.8898326416580217,1.0181605886699536,1.370733068174015,0.8127202547817794
random,200,20.0,10,1,0.3,0.7211017169709176,0.9676601714569748,0.8901552746384007,1.0211116576241532,1.376012295419058,0.8112749022530572
random,500,20.0,10,3,0.5,0.7962176025762719,1.098267482934153,0.8585021874413752,1.0291068506749912,1.3915070420129336,0.8070006497768227
random,1000,20.0,10,3,0.5,0.7951809266512015,1.0966009893596662,0.8589312747003017,1.0291397916322171,1.3868048563006752,0.8083028141415436
random,1000,,2,1,sqrt,0.3746477520337328,0.5105268050478965,0.9694247107435348,1.0306216760678173,1.407532225324877,0.8025297284572698
random,500,20.0,2,3,0.3,0.791570383229303,1.0883743096256844,0.8610399251724017,1.0313459756919852,1.3865265318083153,0.8083797516684951
random,500,20.0,5,3,0.3,0.791570383229303,1.0883743096256844,0.8610399251724016,1.0313459756919852,1.3865265318083153,0.8083797516684951
random,1000,20.0,2,3,0.3,0.7947107033187464,1.0927550629990443,0.8599190333372008,1.0332402772523892,1.3895704639451452,0.8075374752694207
random,1000,20.0,5,3,0.3,0.7947107033187464,1.0927550629990443,0.8599190333372008,1.0332402772523892,1.3895704639451452,0.8075374752694207
random,500,,2,1,sqrt,0.3751883568742379,0.5135338443463121,0.9690634687274418,1.0340369210033562,1.4069007659670918,0.8027068703767969
random,200,20.0,2,3,0.3,0.7958669487742065,1.0916885964552028,0.8601923219643851,1.0356168869874298,1.3923759081680867,0.8067595544005594
random,200,20.0,5,3,0.3,0.7958669487742065,1.0916885964552028,0.8601923219643851,1.0356168869874298,1.3923759081680867,0.8067595544005592
random,200,20.0,10,3,0.5,0.7988464320696076,1.0996562878785816,0.8581441014302544,1.0372919150105253,1.3993876253444502,0.8048084161182013
random,200,,2,1,sqrt,0.37721390474009087,0.5152274246266042,0.9688590814451232,1.0375282422922212,1.416385562326356,0.8000377511983862
random,1000,,2,5,0.5,0.8254678860582477,1.143402894050305,0.8466329551160594,1.0534808478262414,1.4372997470719004,0.7940889144707638
random,1000,,5,5,0.5,0.8254678860582477,1.143402894050305,0.8466329551160594,1.0534808478262414,1.4372997470719004,0.7940889144707638
random,1000,,10,5,0.5,0.8254678860582477,1.143402894050305,0.8466329551160594,1.0534808478262414,1.4372997470719004,0.7940889144707638
