dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,200,30.0,2,3,0.3,0.6671385438481197,0.9481456855705082,0.8982335285236943,1.310829328836152,1.6995870505841828,0.5912459911904442
scaffold,200,,5,3,0.3,0.636360850667139,0.9133906161708357,0.9055574594561864,1.3108351380482808,1.7040964303628006,0.5890740844259803
scaffold,200,,2,3,0.3,0.636360850667139,0.9133906161708357,0.9055574594561864,1.3108351380482808,1.7040964303628008,0.5890740844259802
scaffold,200,20.0,10,1,0.3,0.6804269917955125,0.9299238788814147,0.9021075112498933,1.310992648068958,1.6734528488684846,0.6037199962352849
scaffold,500,20.0,5,1,0.3,0.6081711038691668,0.8453517898215482,0.9191035389222842,1.311307749280777,1.6673686391316263,0.6065962860618059
scaffold,500,30.0,2,3,0.3,0.6644342956682737,0.9448690713642689,0.8989356849575006,1.3116893852178866,1.697857091521066,0.5920776847712629
scaffold,500,30.0,5,3,0.3,0.6644342956682738,0.9448690713642689,0.8989356849575006,1.3116893852178866,1.697857091521066,0.5920776847712629
scaffold,1000,20.0,10,1,0.3,0.6692455512509866,0.915726865227854,0.9050737157698854,1.3119969821179025,1.671178318322537,0.6047964991352062
scaffold,200,,10,3,0.5,0.6522490539484302,0.9387888759586269,0.9002321898183647,1.3121928513224304,1.7131325881843027,0.5847045708683032
scaffold,200,30.0,10,3,0.5,0.67326691457477,0.9621819198822966,0.8951981487824575,1.3129191209593953,1.7208322353255157,0.5809631043520089
scaffold,1000,30.0,10,3,0.5,0.6695415529688679,0.9576366716791616,0.8961859563913057,1.3136026729975772,1.7088583556030292,0.5867742937661051
scaffold,500,20.0,10,1,0.3,0.6726659025262068,0.9201856190435199,0.9041470565752873,1.3153952906180002,1.6773460783170273,0.6018739882917664
scaffold,200,20.0,10,3,0.5,0.7420086591116035,1.0438164479887473,0.8766603129337184,1.3168950331423415,1.7190688253247364,0.5818214741905585
scaffold,1000,,10,3,0.3,0.6799848686698798,0.9661933698348542,0.8943224645976329,1.3177300274948083,1.7046810946015505,0.5887920641153247
scaffold,500,20.0,2,3,0.5,0.7021333410953451,0.9974938022294348,0.8873645801754692,1.3179897654211779,1.7117851003419933,0.5853576265195558
